Work ID,Work Description,Category,MP Name,Constituency,State,House,Final Amount (₹),Completed Date,Has Images,Average Rating,IDA
41241,"Providing formation and WBM road at Veronese nagar in Moolakulam in Oulgaret Constituency, Puducherry",Normal/Others,Shri S. Selvaganabathy (2021-27),Sitting Rajya Sabha,Puducherry,Rajya Sabha,841614.0,2023-11-06T00:00:00.000Z,True,,Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)
38254,"Providing Bituminous Macadam road at Raja Veethi South side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24",Normal/Others,Shri R. Dharmar (2022-28),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,998320.0,2024-01-13T00:00:00.000Z,True,,MADURAI(DISTRICT COLLECTOR MADURAI_IDA)
11866,"Providing Bituminous Mecadam road at First street in Deiveni  Nagar,Golden city , Chettikulam Village,Madurai District (2022-2023)",Normal/Others,Shri R. Dharmar (2022-28),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,998566.0,2024-01-21T00:00:00.000Z,True,,MADURAI(DISTRICT COLLECTOR MADURAI_IDA)
11864,"Providing Bituminous Mecadam road at Vinayaga Nagar Street Golden city , Chettikulam Village,Madurai District(2022-2023)",Normal/Others,Shri R. Dharmar (2022-28),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,998194.0,2024-01-21T00:00:00.000Z,True,,MADURAI(DISTRICT COLLECTOR MADURAI_IDA)
14253,"Construction Work of  P.C.C Road From Reo Road to Bhola Patel Gowas(Bathani) in village Nayak Tola of Harpur Panchayat of Adapur Block,Raxual Assembly of East Champaran District (Estimated Amount 15 Lakhs)",Normal/Others,Shri Shambhu Sharan Patel (2022-28),Sitting Rajya Sabha,Bihar,Rajya Sabha,1484150.0,2024-01-26T00:00:00.000Z,False,,PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)
34640,Installation of Fixed Garden Open gym equipment in ST Senior Boys Hostel in Made Block Mhow,Normal/Others,Dr. Kavita Patidar (2022-28),Sitting Rajya Sabha,Madhya Pradesh,Rajya Sabha,696867.0,2024-02-17T00:00:00.000Z,True,,INDORE(DISTRICT COLLECTOR INDORE_IDA)
34643,Installation of Fixed Garden Open gym equipment in ST  Boys Ashram (1-8) in Patalpani  Block Mhow District Indore,Normal/Others,Dr. Kavita Patidar (2022-28),Sitting Rajya Sabha,Madhya Pradesh,Rajya Sabha,696867.0,2024-02-17T00:00:00.000Z,True,,INDORE(DISTRICT COLLECTOR INDORE_IDA)
1542,HIGH MASK LED STREET LIGHT ( 6  LIGHTS),Normal/Others,Shri Javed Ali Khan (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,283000.0,2024-02-19T00:00:00.000Z,True,,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)
7908,??,Normal/Others,Shri Ramji (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,283000.0,2024-02-27T00:00:00.000Z,False,,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)
7882,WARD NO. 2 MOHALLA DURGA PARSAD BLOCK BISALPUR ME NARENDRA KUMAR SAGAR S/O TEJ RAM DWARA SEMI HIGH MAST LIGHT (S.C BAHULYA CHHETRA),Normal/Others,Shri Ramji (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,283000.0,2024-02-27T00:00:00.000Z,False,,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)
3472,WS/MP198/2023-2024/3472-Lighting of public spaces,Normal/Others,Shri Ramji (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,283000.0,2024-02-27T00:00:00.000Z,False,,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)
7875,GRAM BARAPATTHAR CHORAHA BISALPUR ME DR. BHIM RAW AMBEDKAR PARK KE PASS SEMI HIGH MAST LIGHT,Normal/Others,Shri Ramji (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,283000.0,2024-02-27T00:00:00.000Z,False,,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)
3506,WS/MP198/2023-2024/3506-Lighting of public spaces,Normal/Others,Shri Ramji (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,283000.0,2024-02-27T00:00:00.000Z,False,,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)
3499,WS/MP198/2023-2024/3499-Lighting of public spaces,Normal/Others,Shri Ramji (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,283000.0,2024-02-27T00:00:00.000Z,False,,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)
7941,??    ?? ??0?0??0     ??,Normal/Others,Shri Ramji (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,283000.0,2024-02-28T00:00:00.000Z,False,,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)
7916,??    ?? ??0?0??0     ??,Normal/Others,Shri Ramji (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,283000.0,2024-02-28T00:00:00.000Z,False,,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)
7958,??    ?? ??0?0??0     ??,Normal/Others,Shri Ramji (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,283000.0,2024-02-28T00:00:00.000Z,False,,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)
37241,LED Semi Highmast Light,Normal/Others,Shri Mithlesh Kumar (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,243000.0,2024-03-02T00:00:00.000Z,False,,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)
1844,LED Semi high mast Light,Normal/Others,Shri Mithlesh Kumar (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,243000.0,2024-03-02T00:00:00.000Z,True,,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)
1303,LED SEMI High Mast Light,Normal/Others,Shri Mithlesh Kumar (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,243000.0,2024-03-02T00:00:00.000Z,True,,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)
1980,LED Semi high mast light,Normal/Others,Shri Mithlesh Kumar (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,243000.0,2024-03-03T00:00:00.000Z,True,,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)
34168,LED HIGH MASK LIGHT NEAR HOUSE OF NISHANT SINGH,Normal/Others,Shri Gulam Ali (2022-28),Nominated Rajya Sabha,Jammu And Kashmir,Rajya Sabha,243000.0,2024-03-04T00:00:00.000Z,False,,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)
34171,LED HIGH MASK LIGHT NEAR HOUSE OF SHRI SACHIN VERMA,Normal/Others,Shri Gulam Ali (2022-28),Nominated Rajya Sabha,Jammu And Kashmir,Rajya Sabha,243000.0,2024-03-04T00:00:00.000Z,True,,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)
34100,LED HIGH MASK LIGHT NEAR HOUSE OF MEHAR SINGH,Normal/Others,Shri Gulam Ali (2022-28),Nominated Rajya Sabha,Jammu And Kashmir,Rajya Sabha,243000.0,2024-03-05T00:00:00.000Z,False,,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)
34112,LED HIGH MASK LIGHT NEAR HOUSE OF GURVINDER SINGH,Normal/Others,Shri Gulam Ali (2022-28),Nominated Rajya Sabha,Jammu And Kashmir,Rajya Sabha,243000.0,2024-03-05T00:00:00.000Z,False,,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)
34116,LED HIGH MASK LIGHT NEAR GURU KRIPA GAS AGENCY,Normal/Others,Shri Gulam Ali (2022-28),Nominated Rajya Sabha,Jammu And Kashmir,Rajya Sabha,243000.0,2024-03-05T00:00:00.000Z,True,,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)
33842,HIGH MASK LED LIGHT NEAR HOUSE OF parmeet singh,Normal/Others,Shri Gulam Ali (2022-28),Nominated Rajya Sabha,Jammu And Kashmir,Rajya Sabha,243000.0,2024-03-08T00:00:00.000Z,True,,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)
48092,Purchase of books and periodicals for libraries,Normal/Others,Shri Brij Lal (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,10000.0,2024-03-22T00:00:00.000Z,False,,Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)
102045,SUPPLY AND INSTALLATION OF LED SEMI HIGH MAST AT DIFFERENCE PLACE AT DISTT PILIBHIT AS PER LIST ENCLOSED SERIAL  NO FROM 1 TO 8,Normal/Others,Shri Gulam Ali (2022-28),Nominated Rajya Sabha,Jammu And Kashmir,Rajya Sabha,2263995.0,2024-03-23T00:00:00.000Z,True,,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)
1650,"Awasthi ji ke makan se Pawar ji ke makan tak, Indira Gandhi ward main Pevar Block lagane ka kary, Vidhan Sabha Pashchim, District Jabalpur (mention in letter no.3126 at column no.12)",Normal/Others,Shri Vivek K. Tankha (2022-28),Sitting Rajya Sabha,Madhya Pradesh,Rajya Sabha,197000.0,2024-04-04T00:00:00.000Z,False,,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)
95928,"Providing Books with Furnitures for Sathappa Govt Higher Secondary School, Nerkuppai for the yaer 2023-24",Normal/Others,Shri P. Chidambaram (2022-28),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,275000.0,2024-04-05T00:00:00.000Z,False,,SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)
97474,Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP GP Ajdawada JP Badnagar District Ujjain,Normal/Others,Dr. Kavita Patidar (2022-28),Sitting Rajya Sabha,Madhya Pradesh,Rajya Sabha,205054.0,2024-04-20T00:00:00.000Z,True,,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)
97470,Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP GP Karanj JP Tarana District Ujjain,Normal/Others,Dr. Kavita Patidar (2022-28),Sitting Rajya Sabha,Madhya Pradesh,Rajya Sabha,205054.0,2024-04-20T00:00:00.000Z,True,,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)
120073,CONSTRUCTION OF PCC ROAD FROM THE HOUSE OF RAGHVENDRA NARAYAN PRASAD TO THE HOUSE OF RAMESHWAR SHARMA,Normal/Others,Shri Khiru Mahto (2022-28),Sitting Rajya Sabha,Bihar,Rajya Sabha,1493591.0,2024-06-05T00:00:00.000Z,False,,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)
15901,PCC road construction work in the path leading from Champaran embankment to Munna Yadav's house in village Chandrapur Reta ward number 02 of Gram Panchayat Raj Chandrapur Ratwal of Block Bagaha 01 of District West Champaran. Estimated amount 10 lacs.,Normal/Others,Shri Satish Chandra Dubey (2022-28),Sitting Rajya Sabha,Bihar,Rajya Sabha,997210.0,2024-06-10T00:00:00.000Z,False,,PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)
80996,Water tanker capacity 5000 Liter With Fire Fighter PUMP in Gram Panchayat Ghatgara Block Badnawar,Normal/Others,Dr. Kavita Patidar (2022-28),Sitting Rajya Sabha,Madhya Pradesh,Rajya Sabha,205000.0,2024-06-28T00:00:00.000Z,True,,DHAR(DISTRICT COLLECTOR DHAR_IDA)
43911,CONSTRUCTION OF PCC ROAD FROM MUKESH MANDAL HOUSE TO RAJARAM GUPTA HOUSE IN WARD 14 ITAHRI PANCHAYAT,Normal/Others,Shri Khiru Mahto (2022-28),Sitting Rajya Sabha,Bihar,Rajya Sabha,387537.0,2024-06-29T00:00:00.000Z,True,,MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)
11223,"Construction of Public Meeting Hall near Balsingh/Viradhsingh residence, Gram Panchayat Phuliya, P.S. Sam, Jaisalmer",Normal/Others,Shri Mukul Wasnik (2022-28),Sitting Rajya Sabha,Rajasthan,Rajya Sabha,1000000.0,2024-07-05T00:00:00.000Z,True,,JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)
34537,Construction of C.C road at Village Behrawal Janpad Kalapipal Dist. Shajapur (MP),Normal/Others,Dr. Kavita Patidar (2022-28),Sitting Rajya Sabha,Madhya Pradesh,Rajya Sabha,1000000.0,2024-07-09T00:00:00.000Z,False,,SHAJAPUR(District Collector Shajapur_IDA)
132372,"Construction of Chirakkal - Kootayi Alavipadi road/pathway, ward no.03, Ponmundam Panchayat",Normal/Others,Shri Abdul Wahab (2021-27),Sitting Rajya Sabha,Kerala,Rajya Sabha,367434.0,2024-07-12T00:00:00.000Z,True,,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)
109231,"Providing LED High Mast Lighting at the location given below: 
GP/Village/Mandal : Bibipur Thanda/ Dichpally;
District : Nizamabad;",Normal/Others,Shri V. Vijayendra Prasad (2022-28),Nominated Rajya Sabha,Andhra Pradesh,Rajya Sabha,150000.0,2024-07-26T00:00:00.000Z,False,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)
40046,"Improvement /Construction of Road from R&B Road to Atul New Court Road, Village-Nial, G.P. Nial, Block-AUL, Distt.-Kendrapara",Normal/Others,Smt. Sulata Deo (2022-28),Sitting Rajya Sabha,Odisha,Rajya Sabha,500000.0,2024-08-08T00:00:00.000Z,True,,Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)
97009,"GRAM BADHERI MEIN MAIN ROAD ISRAR KE MAKAN SE INTZAR KE MAKAN TAK CC ROAD EVAM NALI KA NIRMAN KARYA ..

IA ( KARYADAI SANTATHA ) NAGAR PANCHAYAT PADALI GUJJAR",Normal/Others,Shri Naresh Bansal (2020-26),Sitting Rajya Sabha,Uttarakhand,Rajya Sabha,621051.0,2024-08-09T00:00:00.000Z,True,,HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)
113029,Construction of PD Shop at Punsei Idayar Melmugam velur NCMS-5 velur TP,Normal/Others,Shri K.R.N. Rajeshkumar (2022-28),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,1450000.0,2024-08-21T00:00:00.000Z,True,,NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)
75841,Construction of CC Road from Kedia House to Indane Gas Godown and adjacent Galli,Normal/Others,Dr. Sasmit Patra (2022-28),Sitting Rajya Sabha,Odisha,Rajya Sabha,1000000.0,2024-08-28T00:00:00.000Z,False,,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)
36719,"LED SEMI HIGH MAST LIGHT 
(6- LED)",Normal/Others,Shri Baburam Nishad (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,239120.7,2024-08-29T00:00:00.000Z,True,,HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)
132958,"Setting up of High-tech theatre classroom at PTMVHSS, Maruthoorkonam, Ward no.14, Kottukal Panchayat",Normal/Others,Shri Abdul Wahab (2021-27),Sitting Rajya Sabha,Kerala,Rajya Sabha,1499700.0,2024-09-04T00:00:00.000Z,True,,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)
38000,"CC road works near Mangala House in Rajanukunte Village, Rajanukunte Grama Panchayat, Yelahanka Taluk, Bangalore Urban.",Normal/Others,Shri Jaggesh (2022-28),Sitting Rajya Sabha,Karnataka,Rajya Sabha,499096.0,2024-09-05T00:00:00.000Z,False,,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)
137098,"Construction of Chathamangalam - Viripadam road /pathway, Ward No. 11, Vazhayoor Panchayat",Normal/Others,Shri Abdul Wahab (2021-27),Sitting Rajya Sabha,Kerala,Rajya Sabha,379009.0,2024-09-06T00:00:00.000Z,True,,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)
