MP Name,Constituency,State,House,Allocated Amount (₹),Total Expenditure (₹),Utilization %,Completed Works,Recommended Works,Completion Rate %,Unspent Amount (₹),Transaction Count,Successful Payments,Pending Payments,Average Rating
Smt. S. Phangnon Konyak (2022-28),Sitting Rajya Sabha,Nagaland,Rajya Sabha,206563957.11,196106200.0,94.94,57,19,75.0,10457757.110000014,123,123,0,
S SUPONGMEREN JAMIR,NAGALAND,Nagaland,Lok Sabha,147000000.0,138150000.0,93.98,38,18,67.86,8850000.0,81,81,0,
VIJAYLAKSHMI DEVI,SIWAN,Bihar,Lok Sabha,147000000.0,134748616.0,91.67,95,87,52.2,12251384.0,142,120,22,
Smt. Darshana Singh (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,196994373.87,174994106.0,88.83,31,16,65.96,22000267.870000005,133,132,1,
Shri Arun Kumar Sagar ,SHAHJAHANPUR,Uttar Pradesh,Lok Sabha,147000000.0,130143000.0,88.53,4,3,57.14,16857000.0,44,44,0,
Smt. Geeta alias Chandraprabha (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,196063957.11,169877016.35,86.64,210,37,85.02,26186940.76000002,313,313,0,
Shri B.L. Verma (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,196063957.11,168937264.09,86.16,350,64,84.54,27126693.02000001,804,803,1,
Smt. Sumitra Balmik (2022-28),Sitting Rajya Sabha,Madhya Pradesh,Rajya Sabha,196063957.11,163767349.0,83.53,62,116,34.83,32296608.110000014,419,418,1,
Ashok Kumar Rawat,MISRIKH,Uttar Pradesh,Lok Sabha,147000000.0,121139986.0,82.41,2,3,40.0,25860014.0,32,24,8,
Shri Ramji (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,174518577.11,141923083.0,81.32,154,91,62.86,32595494.110000014,258,174,84,
SUKHDEO BHAGAT,LOHARDAGA,Jharkhand,Lok Sabha,171821957.11,138586757.0,80.66,80,204,28.17,33235200.110000014,358,353,5,
Shri R. Dharmar (2022-28),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,260812242.52,207877791.0,79.7,189,55,77.46,52934451.52000001,198,198,0,
Shri Hardeep Singh Puri (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,226801049.11,180480217.2,79.58,278,137,66.99,46320831.910000026,885,883,2,
Giridhari Yadav,BANKA,Bihar,Lok Sabha,147000000.0,114805889.0,78.1,85,35,70.83,32194111.0,96,96,0,
Shri Khiru Mahto (2022-28),Sitting Rajya Sabha,Bihar,Rajya Sabha,235770091.81,183791258.0,77.95,171,6,96.61,51978833.81,176,176,0,
